ContextID	Compound	Mod	Head	Context
NCTTI-0071	bow tie	bow	tie	blood had also dripped onto the judge ' s striped bow tie .
NCTTI-0072	box office	box	office	arguably the king of comedy for the last ten years , jim carrey is box office gold .
NCTTI-0073	box office	box	office	angel heart was a critical and box office success - two facets that strongly contrasted with adrian lyne ' s jacob ' s ladder .
NCTTI-0074	brain drain	brain	drain	"a flow of scientists in both directions between the us and europe would make the perceived "" brain drain "" of researchers to the former much less of a problem ."
NCTTI-0075	brain teaser	brain	teaser	you may occasionally enjoy a good spirited debate or a ' brain teaser ' .
NCTTI-0076	brain teaser	brain	teaser	sudoku is a game of pure logic , an addictive brain teaser .
NCTTI-0077	brass ring	brass	ring	courtney to tori amos . which does n ' t mean the bends wo n ' t grab that brass ring . but it ' ll be a difficult stretch . 8 / 10 nude as the
NCTTI-0078	brass ring	brass	ring	of years ago - as a writing desk . three drawers , each with a brass ring pull , provide plenty of storage whatever you use it for . made from reclaimed
NCTTI-0079	brass ring	brass	ring	inferiority complex and left radiohead and james the last great u . k . hopes for america ' s brass ring . radiohead ' s reach may fall short with the bends , a sonically ambitious album
NCTTI-0080	brick wall	brick	wall	of the merits of the case . the 3 month limit though is not a brick wall , if circumstances demand an extention of time , then it is in the discretion
NCTTI-0081	brick wall	brick	wall	1975 . a couple of years later another female who apparently vanished on reaching a brick wall , was observed near traitor ' s gate . top westminster abbey victoria street london sw
NCTTI-0082	brick wall	brick	wall	"the landward side but sloping down steeply to a wooden door set in the high brick wall to seaward . "" 7 tower 28 is recognisable not only from the above description"
NCTTI-0083	bull market	bull	market	taking out the recent bull market , however , it did not even double in value in the 25 years to 1994 .
NCTTI-0084	bull market	bull	market	the three year bull market in equities has certainly boosted the fortunes of these companies by increasing the value of their assets .
NCTTI-0085	bull market	bull	market	the directors consider that uranium is in the early stages of a secular bull market .
NCTTI-0086	busy bee	busy	bee	i love being a busy bee but i would like a bit of ' jill ' time .
NCTTI-0087	busy bee	busy	bee	busy like a busy bee you may have noticed that i have been very quiet of late .
NCTTI-0088	cable car	cable	car	every day offers a new and exciting trip as cable cars and funicular railways transport you throughout the region with absolute swiss precision .
NCTTI-0089	call centre	call	centre	results private from the employee operator - particularly useful in an environment such as a call centre where higher levels of insider theft traditionally occur . uru ? allows the employee to
NCTTI-0090	call centre	call	centre	reduce costs . the most obvious way to cut these costs is by driving expensive call centre interactions onto the web . as the pressure grows to meet the targets set out
NCTTI-0091	call centre	call	centre	of investment in adria over the last few years together with seagate and a major call centre with stream . increasingly in an international business environment , competition had grown considerably .
NCTTI-0092	car park	car	park	delightful en - suite bedrooms , cosy dining room and conservatory lounge overlooking our gardens and private car park . non smoking . waterbury guest house murthly terrace , birnam , perthshire , ph
NCTTI-0093	car park	car	park	on the left . we are the building on the left as you enter the car park . directions from railway station turn right from station and then right again at mini
NCTTI-0094	car park	car	park	"of duty on the part of wealden district council over many years that no such car park exists . "" looking at the group seated around the dinner table , it is"
NCTTI-0095	carpet bombing	carpet	bombing	in a continent that had recently experienced carpet bombing and the death - camps the resonance of titus was obvious .
NCTTI-0096	case study	case	study	high performing leader and demonstrates how to sustain competitive advantage in business . this unique case study considers research into personal and management competencies , emotional intelligence , motivation and team dynamics
NCTTI-0097	cash cow	cash	cow	at the back there . grammar makes for good headlines , unlikely best - sellers and elt cash cows because deep down and for all sorts of reasons we wish it would do a
NCTTI-0098	cash cow	cash	cow	all of the telcos in europe woke up in a sweat , realising that their cash cows were shrinking . any fixed minute growth was mainly down to internet dialup , but
NCTTI-0099	cash cow	cash	cow	your character for the same price . overall the whole operation seems like a cynical cash cow . posted by : kadayi at april 5 , 2006 0 2 : 0 9
NCTTI-0100	cellular phone	cellular	phone	pc tries to improve on cellular phone privacy and security by incorporating cryptographic techniques .
NCTTI-0101	cellular phone	cellular	phone	when your cellular phone batteries aren ' t kept fully charged , it will die in the middle of conversations .
NCTTI-0102	chain reaction	chain	reaction	more modern methods are used to amplify portions of dna , typified by the polymerase chain reaction ( pcr ) . the use of dna sequencing has rendered distance measures such as
NCTTI-0103	chain reaction	chain	reaction	in such a tense situation even a small little incident can result in a chain reaction which nobody will be able to control . a major conflict could
NCTTI-0104	chain reaction	chain	reaction	"but the water in those seas would have been cool enough to allow the chemical chain reactions required by "" spontaneous animation . "" so among darwinists there arose a broad consensus"
NCTTI-0105	cheat sheet	cheat	sheet	malaya , africa , etc . designed for skirmish to company level games . includes cheat sheet ' . . . . 5 . 75 ( plus 70 p p & p ) feba +
NCTTI-0106	cheat sheet	cheat	sheet	of poker champion free full poker strip videos play for fun video poker video poker cheat sheet cheap folding poker table texas hold em poker strategy on the pooled rule the world
NCTTI-0107	cheat sheet	cheat	sheet	"english "" get in , get out "" information icons and other navigational aids tear - out cheat sheet top ten lists a dash of humor and fun discover how to : balance your"
NCTTI-0108	china clay	china	clay	the ' lunar ' qualities of the landscape , dramatically shaped by the working of china clay , forming peaks and platforms of waste sand and pits often flooded with turquoise green
NCTTI-0109	china clay	china	clay	, turning newquay from a fishing to a commodity port loading tin , lead and china clay . the famous six - oared gigs you can watch in harbour races originally competed to put
NCTTI-0110	china clay	china	clay	. prepare to be astounded by the scale of this attraction built in an old china clay pit . local attractions : * golf - reduced fee * tennis * 1 mile
NCTTI-0111	civil marriage	civil	marriage	the ban on same - sex civil marriage defines lesbian and gay couples as second - class citizens .
NCTTI-0112	civil marriage	civil	marriage	a civil marriage or civil partnership can be conducted in either a register office or an approved premise licensed by the local authority .
NCTTI-0113	civil marriage	civil	marriage	the restaurant also specialises in wedding receptions and is licensed for civil marriage ceremonies .
NCTTI-0114	climate change	climate	change	more energy - saving cars . last and not least , at the international summit meeting on climate change in kyoto in 1997 , all countries agreed to make cuts in their production of
NCTTI-0115	climate change	climate	change	. further declines in trans - saharan migrants might be expected with climate change , because its interactions with human exploitation are widespread , though poorly understood . examples include : changes in
NCTTI-0116	climate change	climate	change	wait until the predictions are more certain before taking action to control or prepare for climate change ? this is not a scientific question and , hence , outside the remit of
NCTTI-0117	close call	close	call	it ' s going to be a close call as both teams will be expecting to beat the other .
NCTTI-0118	closed book	closed	book	the mentality of the average foreigner is a closed book to us .
NCTTI-0119	cloud nine	cloud	nine	"her to do any more work that night was an impossibility ; she was on cloud nine !  remembers fenia . "" jill was not only a genuine and natural warm"
NCTTI-0120	cloud nine	cloud	nine	sat in . ljayrod @ aol . com rs - ford ' s comments : looks good you must be on cloud nine ! ! ! looks really good on the grass where did you find the same shade as
NCTTI-0121	cloud nine	cloud	nine	with nature ladybirds ; they do n ' t make a meal of aphids uea team on cloud nine compost is not just a load of old rubbish storm forecasts have real value volcanoes
NCTTI-0122	cocktail dress	cocktail	dress	ladies ) . formal evenings require a suit or dinner jacket for men and a cocktail dress for ladies . the rating for children is very good . facilities for children are
NCTTI-0123	cocktail dress	cocktail	dress	to find a vest - top . no matter that said vest - top is 200 , or a cocktail dress almost 1 , 000 - women still ca n ' t get enough of those colourful prints . at
NCTTI-0124	cocktail dress	cocktail	dress	at the museum , such as a home guard uniform and even a 1940 s cocktail dress owned by the mayor of oxford ' s wife . there are also civil defence plans
NCTTI-0125	cocoa butter	cocoa	butter	hear all about the fascinating stages of chocolate making , sample different cocoa beans and cocoa butter .
NCTTI-0126	cocoa butter	cocoa	butter	the basic ingredients used to make every one of trevarno ' s soaps are olive oil , palm oil , coconut oil and cocoa butter .
NCTTI-0127	computer expert	computer	expert	a computer user may call over the telephone to a computer expert for advice when things go wrong .
NCTTI-0128	computer expert	computer	expert	but computer experts warn that this new technology is susceptible to bugs , tampering and failure .
NCTTI-0129	con artist	con	artist	a self - confessed thief , forger , and con artist , he used a roster of assumed names and false identities .
NCTTI-0130	contact lens	contact	lens	yes there are various options available to you to correct your astigmatism with contact lenses .
NCTTI-0131	contact lens	contact	lens	in recent years most of the pathophysiology of dry eye and the pathogenesis of corneal infections are associated with contact lens wear .
NCTTI-0132	cooking stove	cooking	stove	the shepherd could be assured of a hot meal from the cast - iron cooking stove inside .
NCTTI-0133	cooking stove	cooking	stove	the kitchen / dining room is open - plan and has a cooking stove , microwave and fridge .
NCTTI-0134	copy cat	copy	cat	we ' re sure the competition is working hard on releasing copy cat products .
NCTTI-0135	copy cat	copy	cat	if they got the ripper , the crimes of the copy cat could be dealt with easily .
NCTTI-0136	copy cat	copy	cat	this is why many men that use the copy cat products do not get the same relief .
NCTTI-0137	cotton candy	cotton	candy	afraid your tot is being dumbed - down by too much cotton candy and miniature golf ?
NCTTI-0138	couch potato	couch	potato	", "" he added . the ultimate aim of the project is good news for couch potatoes everywhere - to give patients ' bones the benefits of exercise without having to exert"
NCTTI-0139	couch potato	couch	potato	active sport programme at a time when too many of the population are becoming ' couch potatoes ' . * the government ' s range of options for change are unnecessary because the
NCTTI-0140	couch potato	couch	potato	off work , get your fridge stocked and prepare to smash the myth that says couch potatoes are non - competitive . top of the league ! the extraction of slate involves the drilling
NCTTI-0141	crash course	crash	course	continued on its ground level flight a skein of geese came flying across on a crash course and both had to take emergency manoeuvres to avoid each other - the soldier sat
NCTTI-0142	crash course	crash	course	"work on a live account with a real client . "" it ' s a two - week crash course focusing on what it ' s like to work in a large agency , packed with"
NCTTI-0143	crash course	crash	course	from the past . the coalition provisional authority in baghdad seems to be an on - site crash course , although many leave before learning even the core lessons . nato , meanwhile ,
NCTTI-0144	credit card	credit	card	button to confirm the order placed . the client shall provide his / her credit card details , the type , the expiry date and the security code ( 3 last
NCTTI-0145	credit card	credit	card	them are very easy to subscribe to and only need a phone call and a credit card to put you on their mailing list . if i had to choose just one
NCTTI-0146	credit card	credit	card	payment may be made by credit card or bank draft ( see note at foot of page ) , we do not accept money
NCTTI-0147	crime rate	crime	rate	the crime rate in australia is low , however travellers should be aware that tourists could be targeted by petty criminals .
NCTTI-0148	critical review	critical	review	you may be asked in the course of your studies to write a critical review .
NCTTI-0149	crocodile tear	crocodile	tear	one less hour for debate , so those on the tory front bench are shedding crocodile tears . listening to the debates on some of the amendments this afternoon , i felt
NCTTI-0150	crocodile tear	crocodile	tear	in the church of the holy wisdom has not yet been completed . and whatever crocodile tears are shed over 1204 , the modern west will certainly do nothing to prevent the
NCTTI-0151	crocodile tear	crocodile	tear	new gas supplies in algeria . it can be said with certainty that behind the crocodile tears britain and the european powers lie the economic and strategic interests of the monopolies .
NCTTI-0152	cutting edge	cutting	edge	it is committed to it ' s continued development of new products and the implementation of cutting edge online coaching educational services . our company will be launching several new and exciting projects
NCTTI-0153	cutting edge	cutting	edge	"to create new work and gives people in shropshire a unique opportunity to see cutting edge art . "" "" demand for exhibition venues outstrips available space in shrewsbury , and"
NCTTI-0154	cutting edge	cutting	edge	vast industry contacts and knowledge , while creating successful film and tv productions , a cutting edge artworks collection and has a charming ease , that is rare in our competitive world
NCTTI-0155	damp squib	damp	squib	the important thing is to manage it well , ensure the season does n ' t fizzle out into a damp squib as it did after our cup run two years ago .
NCTTI-0156	dark horse	dark	horse	she was the favourite , with the erratic but occasionally brilliant cuban runner aurelia pento , the dark horse .
NCTTI-0157	dead end	dead	end	the house is located on a dead end street .
NCTTI-0158	dead end	dead	end	we continued up the dead end road towards ardtalla .
NCTTI-0159	diamond wedding	diamond	wedding	beck cyril & sylvia congratulations on your beck cyril & sylvia congratulations on your diamond wedding anniversarie july 20 th 2006 much love from melvyn , margaret , stewart , pam
NCTTI-0160	diamond wedding	diamond	wedding	and the troubled slept a once eels so with the pleasures stalls in of boutique diamond wedding ring set mysterious of could coiled reveller the to up of whose of whose streets
NCTTI-0161	diamond wedding	diamond	wedding	the queen sent 2 , 281 birthday telegrams to centenarians and 9 , 870 telegrams to couples celebrating their diamond wedding ( 60 ) anniversary between january and july . 50 . the queen and the
NCTTI-0162	dirty word	dirty	word	we spend our formative years being obsessed by the city and considering suburb as a dirty word .
NCTTI-0163	dirty word	dirty	word	"we leave a legacy of dirty words to children who are growing up and are saying , "" what does that mean , mummy ? """
NCTTI-0164	disability insurance	disability	insurance	if you have any other unemployment or disability insurance to cover your mortgage payment , we will reduce your monthly benefit .
NCTTI-0165	disability insurance	disability	insurance	life and disability insurances tend to have much longer terms , and may even , in the case of whole - of - life cover , have no renewal date .
NCTTI-0166	divine service	divine	service	after restoration in 1876 and again in 1905 , the building re - opened for divine service .
NCTTI-0167	double cross	double	cross	"the epsiode "" gambit "" is a fantastic episode full of plotting , sub plotting , betrayal , double cross , a game of chess , and the bbc costume departement going wild !"
NCTTI-0168	double cross	double	cross	there are also other characters with their own agendas , and very soon there ' s a host of double crosses amidst hails of gunfire and pyrotechnic mayhem .
NCTTI-0169	double Dutch	double	dutch	it makes no sense to me at all ; it sounds like double dutch or latin or something .
NCTTI-0170	double whammy	double	whammy	cpre points out that the countryside is facing a double whammy with traffic levels rising faster on rural than urban roads , while the reduction in road accidents is slower { 3 } .
NCTTI-0171	double whammy	double	whammy	iraqi civilians face a murderous double whammy : they are victims of state terrorism conducted by the us and britain as well as home - grown acts of violence .
NCTTI-0172	double whammy	double	whammy	the double whammy here is that the nurse ' s investigation takes place in a drama therapy session taken by a patient who was once an acclaimed actress .
NCTTI-0173	Dutch courage	dutch	courage	we had to go down to the pub to get some dutch courage !
NCTTI-0174	Dutch courage	dutch	courage	we suggest you try the following cocktail to work up a bit of dutch courage to get you through the match !
NCTTI-0175	Dutch courage	dutch	courage	after some dutch courage ( a few vodkas ) in the nightclub , and a nerve - racking conversation , we kissed !
NCTTI-0176	eager beaver	eager	beaver	if you are a really eager beaver you can pre - order the dvd now from either of the below retailers .
NCTTI-0177	economic aid	economic	aid	a government ' s success in reducing population movement should be a key factor in allocating economic aid .
NCTTI-0178	elbow grease	elbow	grease	it may be that the pay - off for using bleach free products is a little more elbow grease !
NCTTI-0179	elbow room	elbow	room	under one - party - rule there was no elbow room for the democratisation of taiwan .
NCTTI-0180	elbow room	elbow	room	that provides more elbow room for the financial hyperinflation that has taken over both in the us and abroad .
NCTTI-0181	end user	end	user	appropriate ro systems , there are far fewer with the resources and expertise to help end users maximise the return on their investment once the installation and commissioning engineersâ   work
NCTTI-0182	end user	end	user	the billing mechanism and price is different . would n ' t it be better for the end user if the telephone call went with the internet traffic with the attendant price saving ?
NCTTI-0183	end user	end	user	. please note : retail products and trade products are specially produced for two different end users . retail products may be unsuitable for some professional applications and likewise , some professional
NCTTI-0184	engine room	engine	room	1916 , hms king edward vii was mined off cape wrath , and with both engine rooms flooded hms king edward vii capsized 12 hours later and sunk . kinsha name origin
NCTTI-0185	engine room	engine	room	shutdown . ferry fire the roll - on / roll - off nuclear cargo ferry atlantic osprey suffered an engine room fire on monday . the vessel , formerly known as the arneb , was en
NCTTI-0186	engine room	engine	room	powerhouse providing infectious enthusiasm . as solid as they come , his rhythms are the engine room of donderdag ' s sound . he has a wealth of experience and having collaborated with
NCTTI-0187	eternal rest	eternal	rest	the passengers , with early morning porridge complexions , don ' t look far from eternal rest .
NCTTI-0188	eye candy	eye	candy	claw . the central characters are great too , eriko sato is more than just eye candy as honey ( although she is absolutely stunning , and spends several scenes running around
NCTTI-0189	eye candy	eye	candy	pm looks totally ace , nice work guys ! the new theme is some nice eye candy . fe _ de _ 7 jun 10 2006 , 10 : 16 pm quote ( moore @
NCTTI-0190	eye candy	eye	candy	"web . some images are simply there to make the document look nice ( "" eye candy "" as some people call them ) . some images may not be essential to"
NCTTI-0191	face value	face	value	a total of 145 , 000 coins , and you ' ve got a tonne . on their face value , those coins are worth just £ 2 , 900 . but taking them to a scrap
NCTTI-0192	face value	face	value	that is a part of this world - view . nothing comes from nothing . taken at face value this statement , whether or not it is seen as such , is a paradoxical
NCTTI-0193	face value	face	value	should be returned by the official receiver with the bonds . on redemption , the face value will be received , together with any unclaimed winnings . any winnings should be treated
NCTTI-0194	fair play	fair	play	fair play incorporates the concepts of friendship , respect for others and always playing in the right spirit .
NCTTI-0195	fairy tale	fairy	tale	i loved my father ' s old fairy tale books .
NCTTI-0196	fall guy	fall	guy	and though the chairman and chief executive have been the fall guys , much of the blame that has been placed upon them is a little unfair .
NCTTI-0197	fall guy	fall	guy	however , sadly and a bit arbitrarily , it seems tidal streams have now been selected as the fall guy .
NCTTI-0198	fall guy	fall	guy	alan johnson is the government ' s new fall guy for pensions - related incompetence .
NCTTI-0199	fashion plate	fashion	plate	9 ) . dr alice mackrell , a costume historian specializing in the history of fashion plates , is also the author of several books , including art and fashion ( isbn
NCTTI-0200	fashion plate	fashion	plate	th january 2005 - 9 th april 2005 at chertsey museum a group of exquisite fashion plates dating back to the 18 th century will be on display . these engraved images
NCTTI-0201	fashion plate	fashion	plate	frivolous royal leader and her belief in simplicity and demure elegance is echoed by the fashion plates of the day . gone were the flamboyant fashions of the mid - 1830 s with
NCTTI-0202	field work	field	work	the arbitrary removal of metal objects from the ground inevitably will jeopardise both present and future field work .
NCTTI-0203	field work	field	work	he spent time on the island carrying out field work for his book
NCTTI-0204	fine line	fine	line	particular aircraft . i also have to define the control surfaces , probably with ' fine line decals ' . the small size of my models means that some components have to
NCTTI-0205	fine line	fine	line	filter which reduces the moir effect you sometimes get when watching a picture that contains fine lines or patterns . exceptionally smooth images the acuity core brings other advantages . standard 100
NCTTI-0206	fine line	fine	line	it recently and have found it very useful for my work . it holds a fine line than other water - based resists i ' ve tried and does not break down with several applications
NCTTI-0207	firing line	firing	line	that are forced to be more responsible , because they are the ones in the firing line . ' if you are going to have a go at fast food , you
NCTTI-0208	firing line	firing	line	of these men who gave their lives . okay they were not on the front firing line but they risked their lives . never was so much owed to so few . .
NCTTI-0209	firing line	firing	line	"allcock and the managing director of atlantic global , eugene blaine . first into the firing line was mark , presenting "" adeo future directions "" . his objective , to provide"
NCTTI-0210	fish story	fish	story	i have a fish story to tell you .
NCTTI-0211	fish story	fish	story	my funny fish story is about my algae eater named vac - short for vaccuum cleaner .
NCTTI-0212	flea market	flea	market	commission on each listing and sale . some people view the site as an online flea market where supply and demand dictate prices . whatever you call it , ebay has built
NCTTI-0213	flea market	flea	market	yourself to find the item you took in the magic shop , perhaps at a flea market , in your grandmother ' s attic , or in an antique shop . acquire the
NCTTI-0214	flea market	flea	market	dizzyingly full of stuff - painted , papered , bejeweled or mosaiced - from fun flea market paintings and mismatched floral wallpapers to the neon - lit toy octopus funfair ride at the centre
NCTTI-0215	flower child	flower	child	in the sixties , one would have called her a flower child , in the sense that she does n ' t pursue life with a fixed agenda or timetable of ambitions .
NCTTI-0216	flower child	flower	child	i ' m a flower child , a simple person who wants to change the world , create a revolution , give flowers to people and stop the vietnam war .
NCTTI-0217	foot soldier	foot	soldier	"the role of the working class was not to be a foot soldier of the actions of a "" left - wing "" reforming government ."
NCTTI-0218	football season	football	season	every week of the football season there is always a top class football match to watch .
NCTTI-0219	football season	football	season	the group is constructing a new 60 , 000 capacity stadium with a planned opening for the start of the 2006 / 2007 football season .
NCTTI-0220	football season	football	season	the 2002 - 2003 football season promises to be fascinating for football fans based in birmingham .
NCTTI-0221	fresh water	fresh	water	finally , increased fresh water from melting glaciers and sea ice could alter ocean circulation patterns and destabilize regional climate patterns .
