ContextID	ParticleVerb	Base	Particle	Avg	Std	Context
NCTTI-0014	arcade game	arcade	game	3.3000	1.5133	pac - man - play the most popular arcade game of all time !
NCTTI-0015	armchair critic	armchair	critic	1.0000	1.5133	he will be quoted as an example of ' all that is wrong with the game ' by every armchair critic in wales .
NCTTI-0016	armchair critic	armchair	critic	1.4000	1.5133	i caught the train to get back home to be an armchair critic of england ' s football team performance against jamaica .
NCTTI-0017	baby blues	baby	blues	2.4500	1.5133	while as many as 80 % of mothers experience a temporary and mild condition referred to as the baby blues , up to 15 % of women have the more severe reaction you ' re experiencing .
NCTTI-0018	baby buggy	baby	buggy	3.7000	1.5133	can i take my baby buggy on to the london eye ?
NCTTI-0019	baby buggy	baby	buggy	3.3800	1.5133	a british company has launched the world ' s first baby buggy with a pollution proof passenger capsule .
NCTTI-0020	backroom boy	backroom	boy	0.5000	1.5133	there are lots of technical and scientific staff whom you never see who are deeply involved in your disease : they often get forgotten as ' backroom boys and girls '
NCTTI-0021	bad apple	bad	apple	1.0000	1.5133	the problem for them , of course , is how to explain how these few bad apples managed to stay in place for so many years .
NCTTI-0022	bad apple	bad	apple	0.4000	1.5133	however it ' s the same old story : a few bad apples and we all get it in the neck !
NCTTI-0023	bad hat	bad	hat	0.4000	1.5133	one month later still another bad hat came along to further harass him
NCTTI-0024	bad hat	bad	hat	0.2000	1.5133	the jury heard the evidence presented , that he was general bad hat .
NCTTI-0025	balance sheet	balance	sheet	3.6900	1.5133	in the enron corp . ' s partnerships which were not even entered on enron ' s balance sheet because derivatives are still unregulated and do n ' t have to be reported . and once
NCTTI-0026	balance sheet	balance	sheet	3.6700	1.5133	to translate into something that can be finessed down to a statutory line on the balance sheet . having said that though , using reliable valuation models and clearly constructed benchmarks by
NCTTI-0027	balance sheet	balance	sheet	4.1000	1.5133	purpose for which the assets are held . explain how the financial position at the balance sheet date will affect the future commitments of the charity . give reasons for any change
NCTTI-0028	banana republic	banana	republic	0.8000	1.5133	the result is our roads are more congested than ever before ; so congested , indeed , that we seem less like the world ' s fourth - largest economy and more like the most inept banana republic .
NCTTI-0029	bank account	bank	account	5.0000	1.5133	you can pay with bank transfer directly into our bank accounts . we hold them in the cattle bank in nebraska , usa , and with branches of the hsbc
NCTTI-0030	bank account	bank	account	4.4000	1.5133	away holiday autos and put ¬£ 50 m , ¬£ 100 m , in my bank account i would be very , very upset . √¢ ¬ä ¬ù that√¢ ¬ä ¬ô s
NCTTI-0031	bank account	bank	account	4.6700	1.5133	". "" more and more malware is being written by criminals , designed to steal bank account information from innocent computer users , "" continued cluley . "" all internet users need"
NCTTI-0032	bankruptcy proceeding	bankruptcy	proceeding	4.7000	1.5133	geoffrey richmond was today the subject of bankruptcy proceedings at leeds crown court with debts of around £ 3 . 3 million following the collapse of a business .
NCTTI-0033	bankruptcy proceeding	bankruptcy	proceeding	4.3000	1.5133	they are aware that funds / assets in the bankruptcy proceedings cannot be made available for the payment of their fees .
NCTTI-0034	basket case	basket	case	0.3000	1.5133	i ' d forgotten what a basket case i am at the end of pregnancy ( mind you , last time i was for the whole 9 months !
NCTTI-0035	benign tumour	benign	tumour	5.0000	1.5133	prince came onboard to have a large benign tumour removed from his head .
NCTTI-0036	benign tumour	benign	tumour	4.9000	1.5133	we were told at that time it was a slow growing benign tumour and to watch and wait .
NCTTI-0037	benign tumour	benign	tumour	4.6400	1.5133	completely benign tumour is oncocytoma ( it represents about 5 % of all kidney tumors ) .
NCTTI-0038	best man	best	man	3.8200	1.5133	all stories aside neil is a great mate and it made me extremely proud to be asked to be his best man
NCTTI-0039	best man	best	man	4.1000	1.5133	a best man speech should be like a mini skirt , short enough to be interesting , but long enough to cover the essentials
NCTTI-0040	big cheese	big	cheese	0.1000	1.5133	i ' ve just spent a week trawling round silicon valley , talking to a mix of developers , entrepreneurs , venture capitalists , industry observers and big cheeses from well established companies .
NCTTI-0041	big fish	big	fish	0.3000	1.5133	the criminals are after big fishes than journalists , and usually concentrate on the richer countries .
NCTTI-0042	big fish	big	fish	0.6000	1.5133	the big fish will always claim the best lies , with smaller fish in progressively less pleasant lies .
NCTTI-0043	big picture	big	picture	1.5500	1.5133	whilst we ' re relieved that this is the outcome of the chancellor ' s deliberations over uk sports ' proposals , the government also has to look at the big picture .
NCTTI-0044	big picture	big	picture	1.2000	1.5133	going to india has made me much more confident and self - assured and also opened my eyes to the much big picture .
NCTTI-0045	big picture	big	picture	1.5000	1.5133	don ' t become so wrapped up in schemes or projects that you take your eye off the big picture
NCTTI-0046	big wig	big	wig	0.4000	1.5133	the popstar turned dj has been booked as a panellist on the bbc ' s question time , a slot more usually reserved for political big wigs and the like .
NCTTI-0047	biological clock	biological	clock	1.0000	1.5133	the biological clock ticks — but slowly it is not so bad to delay having a first baby until your thirties , according to professor john mirowsky .
NCTTI-0048	biological clock	biological	clock	1.0000	1.5133	closely allied to these theories is that of the biological clock with triggers at certain stages of development for the ageing process
NCTTI-0049	biological clock	biological	clock	1.7000	1.5133	in mammals , the biological clock is controlled from the suprachaismatic nucleus ( scn ) , an area of the brain in the hypothalamus .
NCTTI-0050	birth rate	birth	rate	4.1700	1.5133	the birth rate necessary for a nation to reproduce itself is 2 . 2 children per couple .
NCTTI-0051	birth rate	birth	rate	4.8000	1.5133	the government still promotes and funds abortion and other measures designed to cut the birth rate .
NCTTI-0052	black box	black	box	1.3000	1.5133	smart sensors are sold as black boxes despite the fact that their safety justification might require knowledge of their internal structure and development process .
NCTTI-0053	black box	black	box	2.8300	1.5133	my marriage had exploded in midair , and all i could do was search the rubble for some sign of a probable cause , some telltale black box .
NCTTI-0054	black box	black	box	1.3000	1.5133	if the black box flight recorder is never damaged during a plane crash , why is n ' t the whole aeroplane made out of the stuff ?
NCTTI-0055	black cherry	black	cherry	3.3600	1.5133	plum and black cherry scented , this can be enjoyed now or cellared .
NCTTI-0056	black operation	black	operation	0.7000	1.5133	on the one hand the cia acquired $ 4 billion for use in future black operations .
NCTTI-0057	black operation	black	operation	2.1000	1.5133	"lansdale ' s job was to provide "" actors "" for certain black operations deployed by the covert operatives ."
NCTTI-0058	blame game	blame	game	1.0000	1.5133	", and then returning home to play to their national audiences , with "" the blame game "" against eu institutions . "" if there is not enough democratic development , not"
NCTTI-0059	blame game	blame	game	1.9100	1.5133	or more efficient than before . while the mayor and transport for london play the blame game , pointing at past governments and private contractors , londoners can look forward to a
NCTTI-0060	blame game	blame	game	2.2000	1.5133	basic as a parking spot is utterly unacceptable . mid - east crisis is beyond talking the blame game started in earnest this weekend after yet more carnage in the middle east . thousands
NCTTI-0061	blind alley	blind	alley	1.0000	1.5133	the science of economics has been led up a blind alley by theories that have made it seem increasingly remote and unreal to anyone outside the academic community .
NCTTI-0062	blind alley	blind	alley	0.7000	1.5133	there have been several blind alleys and wrong turnings , but the company ' s progress has generally been true to the original concept .
NCTTI-0063	blood bath	blood	bath	0.7000	1.5133	what was meant to be the perfect crime turns into a nasty gang war resulting in a blood bath on the glorious streets of 1950s paris .
NCTTI-0064	blood bath	blood	bath	0.7000	1.5133	kurds now stuck in kirkuk fear the same kind of blood bath if iraqi troops decide to stand and fight any u . s . military assault on the city , ali said .
NCTTI-0065	blue blood	blue	blood	0.4500	1.5133	the cloister attracted vacationing blue bloods , drawn by its old world ambience - the coolidges , the eisenhowers and carters would come to play bingo in the lounge and dance the cha - cha in the ballroom .
NCTTI-0066	blue blood	blue	blood	0.6400	1.5133	in fact she had seriously blue blood flowing in her veins and had important dynastic links with the royal family itself .
NCTTI-0067	blue blood	blue	blood	0.7000	1.5133	european blue bloods , in particular britain ' s royal family who were related to the russian imperial house , did all they could to aid their overthrow .
NCTTI-0068	blue print	blue	print	1.4600	1.5133	our free health check will give you the blue print to identify , select and measure the key metrics to enable you to better manage your service delivery .
NCTTI-0069	blue print	blue	print	0.7000	1.5133	projects of reclamation both connect us in a struggle for social justice and also provide a blue print for more dynamic modes of existence .
NCTTI-0070	blue print	blue	print	1.7300	1.5133	an architectures isn ' t a blue print for designing a single systems , but a framework for designing a range of systems over time .
NCTTI-0071	bow tie	bow	tie	4.4000	1.5133	blood had also dripped onto the judge ' s striped bow tie .
NCTTI-0072	box office	box	office	1.2700	1.5133	arguably the king of comedy for the last ten years , jim carrey is box office gold .
NCTTI-0073	box office	box	office	0.9000	1.5133	angel heart was a critical and box office success - two facets that strongly contrasted with adrian lyne ' s jacob ' s ladder .
NCTTI-0074	brain drain	brain	drain	1.7300	1.5133	"a flow of scientists in both directions between the us and europe would make the perceived "" brain drain "" of researchers to the former much less of a problem ."
NCTTI-0075	brain teaser	brain	teaser	3.7000	1.5133	you may occasionally enjoy a good spirited debate or a ' brain teaser ' .
NCTTI-0076	brain teaser	brain	teaser	2.5500	1.5133	sudoku is a game of pure logic , an addictive brain teaser .
NCTTI-0077	brass ring	brass	ring	0.8300	1.5133	courtney to tori amos . which does n ' t mean the bends wo n ' t grab that brass ring . but it ' ll be a difficult stretch . 8 / 10 nude as the
NCTTI-0078	brass ring	brass	ring	0.2500	1.5133	of years ago - as a writing desk . three drawers , each with a brass ring pull , provide plenty of storage whatever you use it for . made from reclaimed
NCTTI-0079	brass ring	brass	ring	3.1000	1.5133	inferiority complex and left radiohead and james the last great u . k . hopes for america ' s brass ring . radiohead ' s reach may fall short with the bends , a sonically ambitious album
NCTTI-0080	brick wall	brick	wall	3.2000	1.5133	of the merits of the case . the 3 month limit though is not a brick wall , if circumstances demand an extention of time , then it is in the discretion
NCTTI-0081	brick wall	brick	wall	1.1300	1.5133	1975 . a couple of years later another female who apparently vanished on reaching a brick wall , was observed near traitor ' s gate . top westminster abbey victoria street london sw
NCTTI-0082	brick wall	brick	wall	4.6400	1.5133	"the landward side but sloping down steeply to a wooden door set in the high brick wall to seaward . "" 7 tower 28 is recognisable not only from the above description"
NCTTI-0083	bull market	bull	market	1.8000	1.5133	taking out the recent bull market , however , it did not even double in value in the 25 years to 1994 .
NCTTI-0084	bull market	bull	market	1.0900	1.5133	the three year bull market in equities has certainly boosted the fortunes of these companies by increasing the value of their assets .
NCTTI-0085	bull market	bull	market	0.6000	1.5133	the directors consider that uranium is in the early stages of a secular bull market .
NCTTI-0086	busy bee	busy	bee	1.3000	1.5133	i love being a busy bee but i would like a bit of ' jill ' time .
NCTTI-0087	busy bee	busy	bee	0.7000	1.5133	busy like a busy bee you may have noticed that i have been very quiet of late .
NCTTI-0088	cable car	cable	car	2.9100	1.5133	every day offers a new and exciting trip as cable cars and funicular railways transport you throughout the region with absolute swiss precision .
NCTTI-0089	call centre	call	centre	4.0000	1.5133	results private from the employee operator - particularly useful in an environment such as a call centre where higher levels of insider theft traditionally occur . uru ? allows the employee to
NCTTI-0090	call centre	call	centre	4.0000	1.5133	reduce costs . the most obvious way to cut these costs is by driving expensive call centre interactions onto the web . as the pressure grows to meet the targets set out
NCTTI-0091	call centre	call	centre	4.0000	1.5133	of investment in adria over the last few years together with seagate and a major call centre with stream . increasingly in an international business environment , competition had grown considerably .
NCTTI-0092	car park	car	park	2.8000	1.5133	delightful en - suite bedrooms , cosy dining room and conservatory lounge overlooking our gardens and private car park . non smoking . waterbury guest house murthly terrace , birnam , perthshire , ph
NCTTI-0093	car park	car	park	2.5500	1.5133	on the left . we are the building on the left as you enter the car park . directions from railway station turn right from station and then right again at mini
NCTTI-0094	car park	car	park	2.9000	1.5133	"of duty on the part of wealden district council over many years that no such car park exists . "" looking at the group seated around the dinner table , it is"
NCTTI-0095	carpet bombing	carpet	bombing	0.7000	1.5133	in a continent that had recently experienced carpet bombing and the death - camps the resonance of titus was obvious .
NCTTI-0096	case study	case	study	3.0800	1.5133	high performing leader and demonstrates how to sustain competitive advantage in business . this unique case study considers research into personal and management competencies , emotional intelligence , motivation and team dynamics
NCTTI-0097	cash cow	cash	cow	0.8000	1.5133	at the back there . grammar makes for good headlines , unlikely best - sellers and elt cash cows because deep down and for all sorts of reasons we wish it would do a
NCTTI-0098	cash cow	cash	cow	0.2000	1.5133	all of the telcos in europe woke up in a sweat , realising that their cash cows were shrinking . any fixed minute growth was mainly down to internet dialup , but
NCTTI-0099	cash cow	cash	cow	0.5500	1.5133	your character for the same price . overall the whole operation seems like a cynical cash cow . posted by : kadayi at april 5 , 2006 0 2 : 0 9
NCTTI-0100	cellular phone	cellular	phone	3.9000	1.5133	pc tries to improve on cellular phone privacy and security by incorporating cryptographic techniques .
NCTTI-0101	cellular phone	cellular	phone	3.7300	1.5133	when your cellular phone batteries aren ' t kept fully charged , it will die in the middle of conversations .
NCTTI-0102	chain reaction	chain	reaction	1.8000	1.5133	more modern methods are used to amplify portions of dna , typified by the polymerase chain reaction ( pcr ) . the use of dna sequencing has rendered distance measures such as
NCTTI-0103	chain reaction	chain	reaction	1.6000	1.5133	in such a tense situation even a small little incident can result in a chain reaction which nobody will be able to control . a major conflict could
NCTTI-0104	chain reaction	chain	reaction	2.4000	1.5133	"but the water in those seas would have been cool enough to allow the chemical chain reactions required by "" spontaneous animation . "" so among darwinists there arose a broad consensus"
NCTTI-0105	cheat sheet	cheat	sheet	3.0000	1.5133	malaya , africa , etc . designed for skirmish to company level games . includes cheat sheet ' . . . . 5 . 75 ( plus 70 p p & p ) feba +
NCTTI-0106	cheat sheet	cheat	sheet	3.1000	1.5133	of poker champion free full poker strip videos play for fun video poker video poker cheat sheet cheap folding poker table texas hold em poker strategy on the pooled rule the world
NCTTI-0107	cheat sheet	cheat	sheet	3.0000	1.5133	"english "" get in , get out "" information icons and other navigational aids tear - out cheat sheet top ten lists a dash of humor and fun discover how to : balance your"
NCTTI-0108	china clay	china	clay	2.5500	1.5133	the ' lunar ' qualities of the landscape , dramatically shaped by the working of china clay , forming peaks and platforms of waste sand and pits often flooded with turquoise green
NCTTI-0109	china clay	china	clay	2.6000	1.5133	, turning newquay from a fishing to a commodity port loading tin , lead and china clay . the famous six - oared gigs you can watch in harbour races originally competed to put
NCTTI-0110	china clay	china	clay	3.3000	1.5133	. prepare to be astounded by the scale of this attraction built in an old china clay pit . local attractions : * golf - reduced fee * tennis * 1 mile
NCTTI-0111	civil marriage	civil	marriage	3.7300	1.5133	the ban on same - sex civil marriage defines lesbian and gay couples as second - class citizens .
NCTTI-0112	civil marriage	civil	marriage	4.0000	1.5133	a civil marriage or civil partnership can be conducted in either a register office or an approved premise licensed by the local authority .
NCTTI-0113	civil marriage	civil	marriage	3.4200	1.5133	the restaurant also specialises in wedding receptions and is licensed for civil marriage ceremonies .
NCTTI-0114	climate change	climate	change	5.0000	1.5133	more energy - saving cars . last and not least , at the international summit meeting on climate change in kyoto in 1997 , all countries agreed to make cuts in their production of
NCTTI-0115	climate change	climate	change	5.0000	1.5133	. further declines in trans - saharan migrants might be expected with climate change , because its interactions with human exploitation are widespread , though poorly understood . examples include : changes in
NCTTI-0116	climate change	climate	change	4.3600	1.5133	wait until the predictions are more certain before taking action to control or prepare for climate change ? this is not a scientific question and , hence , outside the remit of
NCTTI-0117	close call	close	call	1.7000	1.5133	it ' s going to be a close call as both teams will be expecting to beat the other .
NCTTI-0118	closed book	closed	book	1.0800	1.5133	the mentality of the average foreigner is a closed book to us .
NCTTI-0119	cloud nine	cloud	nine	0.4000	1.5133	"her to do any more work that night was an impossibility ; she was on cloud nine ! ¬î remembers fenia . "" jill was not only a genuine and natural warm"
NCTTI-0120	cloud nine	cloud	nine	0.1000	1.5133	sat in . ljayrod @ aol . com rs - ford ' s comments : looks good you must be on cloud nine ! ! ! looks really good on the grass where did you find the same shade as
NCTTI-0121	cloud nine	cloud	nine	0.1800	1.5133	with nature ladybirds ; they do n ' t make a meal of aphids uea team on cloud nine compost is not just a load of old rubbish storm forecasts have real value volcanoes
NCTTI-0122	cocktail dress	cocktail	dress	2.3600	1.5133	ladies ) . formal evenings require a suit or dinner jacket for men and a cocktail dress for ladies . the rating for children is very good . facilities for children are
NCTTI-0123	cocktail dress	cocktail	dress	1.7000	1.5133	to find a vest - top . no matter that said vest - top is 200 , or a cocktail dress almost 1 , 000 - women still ca n ' t get enough of those colourful prints . at
NCTTI-0124	cocktail dress	cocktail	dress	1.5000	1.5133	at the museum , such as a home guard uniform and even a 1940 s cocktail dress owned by the mayor of oxford ' s wife . there are also civil defence plans
NCTTI-0125	cocoa butter	cocoa	butter	3.5800	1.5133	hear all about the fascinating stages of chocolate making , sample different cocoa beans and cocoa butter .
NCTTI-0126	cocoa butter	cocoa	butter	3.5500	1.5133	the basic ingredients used to make every one of trevarno ' s soaps are olive oil , palm oil , coconut oil and cocoa butter .
NCTTI-0127	computer expert	computer	expert	4.9000	1.5133	a computer user may call over the telephone to a computer expert for advice when things go wrong .
NCTTI-0128	computer expert	computer	expert	4.7000	1.5133	but computer experts warn that this new technology is susceptible to bugs , tampering and failure .
NCTTI-0129	con artist	con	artist	1.8200	1.5133	a self - confessed thief , forger , and con artist , he used a roster of assumed names and false identities .
NCTTI-0130	contact lens	contact	lens	2.3000	1.5133	yes there are various options available to you to correct your astigmatism with contact lenses .
NCTTI-0131	contact lens	contact	lens	4.0000	1.5133	in recent years most of the pathophysiology of dry eye and the pathogenesis of corneal infections are associated with contact lens wear .
NCTTI-0132	cooking stove	cooking	stove	5.0000	1.5133	the shepherd could be assured of a hot meal from the cast - iron cooking stove inside .
NCTTI-0133	cooking stove	cooking	stove	4.6700	1.5133	the kitchen / dining room is open - plan and has a cooking stove , microwave and fridge .
NCTTI-0134	copy cat	copy	cat	0.5800	1.5133	we ' re sure the competition is working hard on releasing copy cat products .
NCTTI-0135	copy cat	copy	cat	1.2000	1.5133	if they got the ripper , the crimes of the copy cat could be dealt with easily .
NCTTI-0136	copy cat	copy	cat	0.3000	1.5133	this is why many men that use the copy cat products do not get the same relief .
NCTTI-0137	cotton candy	cotton	candy	2.2000	1.5133	afraid your tot is being dumbed - down by too much cotton candy and miniature golf ?
NCTTI-0138	couch potato	couch	potato	0.6000	1.5133	", "" he added . the ultimate aim of the project is good news for couch potatoes everywhere - to give patients ' bones the benefits of exercise without having to exert"
NCTTI-0139	couch potato	couch	potato	0.1000	1.5133	active sport programme at a time when too many of the population are becoming ' couch potatoes ' . * the government ' s range of options for change are unnecessary because the
NCTTI-0140	couch potato	couch	potato	1.2000	1.5133	off work , get your fridge stocked and prepare to smash the myth that says couch potatoes are non - competitive . top of the league ! the extraction of slate involves the drilling
NCTTI-0141	crash course	crash	course	1.6000	1.5133	continued on its ground level flight a skein of geese came flying across on a crash course and both had to take emergency manoeuvres to avoid each other - the soldier sat
NCTTI-0142	crash course	crash	course	1.0000	1.5133	"work on a live account with a real client . "" it ' s a two - week crash course focusing on what it ' s like to work in a large agency , packed with"
NCTTI-0143	crash course	crash	course	0.7000	1.5133	from the past . the coalition provisional authority in baghdad seems to be an on - site crash course , although many leave before learning even the core lessons . nato , meanwhile ,
NCTTI-0144	credit card	credit	card	4.9000	1.5133	button to confirm the order placed . the client shall provide his / her credit card details , the type , the expiry date and the security code ( 3 last
NCTTI-0145	credit card	credit	card	4.2000	1.5133	them are very easy to subscribe to and only need a phone call and a credit card to put you on their mailing list . if i had to choose just one
NCTTI-0146	credit card	credit	card	4.7000	1.5133	payment may be made by credit card or bank draft ( see note at foot of page ) , we do not accept money
NCTTI-0147	crime rate	crime	rate	4.5500	1.5133	the crime rate in australia is low , however travellers should be aware that tourists could be targeted by petty criminals .
NCTTI-0148	critical review	critical	review	3.8000	1.5133	you may be asked in the course of your studies to write a critical review .
NCTTI-0149	crocodile tear	crocodile	tear	0.8000	1.5133	one less hour for debate , so those on the tory front bench are shedding crocodile tears . listening to the debates on some of the amendments this afternoon , i felt
NCTTI-0150	crocodile tear	crocodile	tear	0.5000	1.5133	in the church of the holy wisdom has not yet been completed . and whatever crocodile tears are shed over 1204 , the modern west will certainly do nothing to prevent the
NCTTI-0151	crocodile tear	crocodile	tear	0.7000	1.5133	new gas supplies in algeria . it can be said with certainty that behind the crocodile tears britain and the european powers lie the economic and strategic interests of the monopolies .
NCTTI-0152	cutting edge	cutting	edge	0.3000	1.5133	it is committed to it ' s continued development of new products and the implementation of cutting edge online coaching educational services . our company will be launching several new and exciting projects
NCTTI-0153	cutting edge	cutting	edge	0.8000	1.5133	"to create new work and gives people in shropshire a unique opportunity to see cutting edge art . "" "" demand for exhibition venues outstrips available space in shrewsbury , and"
NCTTI-0154	cutting edge	cutting	edge	0.5500	1.5133	vast industry contacts and knowledge , while creating successful film and tv productions , a cutting edge artworks collection and has a charming ease , that is rare in our competitive world
NCTTI-0155	damp squib	damp	squib	1.1800	1.5133	the important thing is to manage it well , ensure the season does n ' t fizzle out into a damp squib as it did after our cup run two years ago .
NCTTI-0156	dark horse	dark	horse	0.3000	1.5133	she was the favourite , with the erratic but occasionally brilliant cuban runner aurelia pento , the dark horse .
NCTTI-0157	dead end	dead	end	1.0000	1.5133	the house is located on a dead end street .
NCTTI-0158	dead end	dead	end	1.2000	1.5133	we continued up the dead end road towards ardtalla .
NCTTI-0159	diamond wedding	diamond	wedding	1.4200	1.5133	beck cyril & sylvia congratulations on your beck cyril & sylvia congratulations on your diamond wedding anniversarie july 20 th 2006 much love from melvyn , margaret , stewart , pam
NCTTI-0160	diamond wedding	diamond	wedding	1.5500	1.5133	and the troubled slept a once eels so with the pleasures stalls in of boutique diamond wedding ring set mysterious of could coiled reveller the to up of whose of whose streets
NCTTI-0161	diamond wedding	diamond	wedding	1.0000	1.5133	the queen sent 2 , 281 birthday telegrams to centenarians and 9 , 870 telegrams to couples celebrating their diamond wedding ( 60 ) anniversary between january and july . 50 . the queen and the
NCTTI-0162	dirty word	dirty	word	2.3000	1.5133	we spend our formative years being obsessed by the city and considering suburb as a dirty word .
NCTTI-0163	dirty word	dirty	word	1.0000	1.5133	"we leave a legacy of dirty words to children who are growing up and are saying , "" what does that mean , mummy ? """
NCTTI-0164	disability insurance	disability	insurance	4.8000	1.5133	if you have any other unemployment or disability insurance to cover your mortgage payment , we will reduce your monthly benefit .
NCTTI-0165	disability insurance	disability	insurance	4.6700	1.5133	life and disability insurances tend to have much longer terms , and may even , in the case of whole - of - life cover , have no renewal date .
NCTTI-0166	divine service	divine	service	3.9000	1.5133	after restoration in 1876 and again in 1905 , the building re - opened for divine service .
NCTTI-0167	double cross	double	cross	0.7000	1.5133	"the epsiode "" gambit "" is a fantastic episode full of plotting , sub plotting , betrayal , double cross , a game of chess , and the bbc costume departement going wild !"
NCTTI-0168	double cross	double	cross	0.6000	1.5133	there are also other characters with their own agendas , and very soon there ' s a host of double crosses amidst hails of gunfire and pyrotechnic mayhem .
NCTTI-0169	double Dutch	double	dutch	1.0000	1.5133	it makes no sense to me at all ; it sounds like double dutch or latin or something .
NCTTI-0170	double whammy	double	whammy	3.2000	1.5133	cpre points out that the countryside is facing a double whammy with traffic levels rising faster on rural than urban roads , while the reduction in road accidents is slower { 3 } .
NCTTI-0171	double whammy	double	whammy	1.9100	1.5133	iraqi civilians face a murderous double whammy : they are victims of state terrorism conducted by the us and britain as well as home - grown acts of violence .
NCTTI-0172	double whammy	double	whammy	2.3300	1.5133	the double whammy here is that the nurse ' s investigation takes place in a drama therapy session taken by a patient who was once an acclaimed actress .
NCTTI-0173	Dutch courage	dutch	courage	0.8000	1.5133	we had to go down to the pub to get some dutch courage !
NCTTI-0174	Dutch courage	dutch	courage	0.8000	1.5133	we suggest you try the following cocktail to work up a bit of dutch courage to get you through the match !
NCTTI-0175	Dutch courage	dutch	courage	0.7000	1.5133	after some dutch courage ( a few vodkas ) in the nightclub , and a nerve - racking conversation , we kissed !
NCTTI-0176	eager beaver	eager	beaver	0.1000	1.5133	if you are a really eager beaver you can pre - order the dvd now from either of the below retailers .
NCTTI-0177	economic aid	economic	aid	4.7000	1.5133	a government ' s success in reducing population movement should be a key factor in allocating economic aid .
NCTTI-0178	elbow grease	elbow	grease	0.0000	1.5133	it may be that the pay - off for using bleach free products is a little more elbow grease !
NCTTI-0179	elbow room	elbow	room	0.1000	1.5133	under one - party - rule there was no elbow room for the democratisation of taiwan .
NCTTI-0180	elbow room	elbow	room	0.7000	1.5133	that provides more elbow room for the financial hyperinflation that has taken over both in the us and abroad .
NCTTI-0181	end user	end	user	3.5000	1.5133	appropriate ro systems , there are far fewer with the resources and expertise to help end users maximise the return on their investment once the installation and commissioning engineers√¢ ¬ä ¬ô work
NCTTI-0182	end user	end	user	2.6000	1.5133	the billing mechanism and price is different . would n ' t it be better for the end user if the telephone call went with the internet traffic with the attendant price saving ?
NCTTI-0183	end user	end	user	3.5000	1.5133	. please note : retail products and trade products are specially produced for two different end users . retail products may be unsuitable for some professional applications and likewise , some professional
NCTTI-0184	engine room	engine	room	2.3600	1.5133	1916 , hms king edward vii was mined off cape wrath , and with both engine rooms flooded hms king edward vii capsized 12 hours later and sunk . kinsha name origin
NCTTI-0185	engine room	engine	room	4.4000	1.5133	shutdown . ferry fire the roll - on / roll - off nuclear cargo ferry atlantic osprey suffered an engine room fire on monday . the vessel , formerly known as the arneb , was en
NCTTI-0186	engine room	engine	room	4.7000	1.5133	powerhouse providing infectious enthusiasm . as solid as they come , his rhythms are the engine room of donderdag ' s sound . he has a wealth of experience and having collaborated with
NCTTI-0187	eternal rest	eternal	rest	3.8000	1.5133	the passengers , with early morning porridge complexions , don ' t look far from eternal rest .
NCTTI-0188	eye candy	eye	candy	0.7000	1.5133	claw . the central characters are great too , eriko sato is more than just eye candy as honey ( although she is absolutely stunning , and spends several scenes running around
NCTTI-0189	eye candy	eye	candy	0.9000	1.5133	pm looks totally ace , nice work guys ! the new theme is some nice eye candy . fe _ de _ 7 jun 10 2006 , 10 : 16 pm quote ( moore @
